ISIN,NAME,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
CH0012005267,,22494946.0,19592362.0,21744620.0,18646301.0,23704874.0,26324155.0,29280304.0,31150581.0,36230178.0,42180938.0,38494099.0,45394288.0,56177838.0,56381529.0,58547938.0,60212783.0,52976540.0,47581363.0,49356659.0,52742589.0,52249673.0,49996244.0,51821224.0,52621390.0,54202676.0,48352409.0,50054831.0
CH0012032048,,17499538.0,16636459.0,17412701.0,16973034.0,21739707.0,24758371.0,26234137.0,27610088.0,33734250.0,42627372.0,39178141.0,46427161.0,50626717.0,46502327.0,50391046.0,51820180.0,51339036.0,47179937.0,51124684.0,57188036.0,57186688.0,63634653.0,64891420.0,68318121.0,69564120.0,67831677.0,66352028.0
CH0012138530,,51665574.0,45504490.0,62292067.0,64471690.0,61424089.0,64104513.0,61863673.0,69490559.0,65926263.0,86477211.0,44185234.0,49284669.0,52903549.0,45912997.0,41115567.0,41037418.0,38953718.0,32895132.0,30245604.0,33446508.0,33549872.0,36668659.0,34061793.0,28809554.0,23815001.0,44202187.0,41966465.0
CH0012138605,,10862174.0,11147097.0,16171366.0,15857911.0,18346923.0,19640269.0,22326324.0,22025897.0,25824152.0,32072524.0,27088723.0,21122782.0,27187197.0,27589082.0,27382899.0,26547359.0,26231995.0,22936921.0,25048707.0,28353799.0,27636755.0,26924357.0,23306402.0,24596130.0,26073474.0,26857389.0,24157239.0
CH0012142631,,6765797.0,5585920.0,6427128.0,5744979.0,6453530.0,6180076.0,7155603.0,6360793.0,6499546.0,7884581.0,6931775.0,6260204.0,7592994.0,8058173.0,6687205.0,6730642.0,6615599.0,5690599.0,5910432.0,6842307.0,6662693.0,4554206.0,4294719.0,4756084.0,5714105.0,5056531.0,4553990.0
CH0012214059,,7995491.0,7358979.0,8509583.0,7940887.0,9515007.0,9992168.0,11085733.0,14359019.0,19233040.0,24996330.0,21606079.0,20001606.0,23091448.0,22680968.0,23860408.0,21843569.0,20671042.0,23111261.0,27195873.0,28035539.0,27630608.0,27664810.0,25748285.0,29191389.0,32087152.0,31202156.0,28963683.0
CH0012221716,,30549438.0,24189422.0,23566846.0,23336651.0,20873191.0,19972678.0,21554087.0,21636556.0,24384952.0,32168369.0,32234467.0,32539677.0,34873988.0,36510650.0,40461746.0,42824757.0,39945972.0,33608076.0,34018777.0,35944072.0,27247154.0,28757300.0,27078973.0,28809059.0,30908159.0,33235286.0,32018562.0
CH0012255151,,2259996.0,2123084.0,2508784.0,2355959.0,2876443.0,3049197.0,3339561.0,3337065.0,3867631.0,5216963.0,4875689.0,4866944.0,6513765.0,7395588.0,8634225.0,9367068.0,9420413.0,8281600.0,7634940.0,8540812.0,8525792.0,8533831.0,6225117.0,7955453.0,8243570.0,9112614.0,7387072.0
CH0012268360,,78117.0,129592.0,214627.0,255983.0,281330.0,310412.0,504405.0,534227.0,557148.0,855461.0,882473.0,996051.0,1103940.0,955460.0,934803.0,933076.0,951684.0,920760.0,1060303.0,1104250.0,892552.0,833066.0,757609.0,750287.0,739452.0,778068.0,371359.0
CH0012410517,,6593300.0,5420865.0,5967032.0,5277978.0,6309232.0,7504435.0,7654147.0,7073457.0,7482823.0,8885931.0,7001342.0,8946677.0,10047814.0,8405757.0,10411905.0,10487660.0,10886857.0,8419970.0,8751726.0,9727728.0,6964088.0,10987139.0,9314199.0,11001218.0,6573639.0,6675845.0,6514772.0
